age,birth_year,sex,school_type,major_cat,occupation,firm_size,is_regular,income_now,income_now_start,income_first,is_first_job,job_seq,satis_overall,satis_growth,health,life_satis,happy,quit_reason,move_reason,survey,survey_year,changed_job,income_base,income_change_pct,occupation_name,occupation_scheme
25.5,1995.0,1,1,1,9,6,2,170.0,170.0,,1.0,,3.0,3.0,3.0,4.0,4.0,,,GOMS,2019,0.0,170.0,0.0,설치·정비·생산,KECO2018
23.833333333333332,1996.0,2,1,1,6,1,2,90.0,90.0,180.0,2.0,2.0,1.0,3.0,4.0,6.0,4.0,11,9,GOMS,2019,1.0,180.0,-50.0,미용·여행·숙박·음식·경비·청소,KECO2018
25.0,1995.0,2,1,1,1,,2,200.0,160.0,,1.0,,4.0,4.0,2.0,7.0,4.0,,1,GOMS,2019,0.0,160.0,25.0,경영·사무·금융·보험,KECO2018
21.833333333333332,1998.0,2,1,1,6,3,2,180.0,180.0,,1.0,,2.0,1.0,4.0,5.0,6.0,,1,GOMS,2019,0.0,180.0,0.0,미용·여행·숙박·음식·경비·청소,KECO2018
24.416666666666668,1996.0,2,1,1,3,2,1,234.0,234.0,234.0,2.0,2.0,1.0,5.0,3.0,7.0,7.0,11,,GOMS,2019,1.0,234.0,0.0,교육·법률·복지·공공,KECO2018
23.75,1996.0,1,1,1,7,5,1,190.0,150.0,,1.0,,1.0,1.0,3.0,3.0,4.0,,1,GOMS,2019,0.0,150.0,26.666666666666668,영업·판매·운전·운송,KECO2018
25.083333333333332,1995.0,2,1,1,5,2,1,200.0,200.0,70.0,2.0,2.0,4.0,4.0,3.0,6.0,5.0,11,,GOMS,2019,1.0,70.0,185.71428571428572,예술·디자인·방송·스포츠,KECO2018
24.333333333333332,1996.0,2,1,1,1,3,1,190.0,180.0,165.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,12,,GOMS,2019,1.0,165.0,15.151515151515152,경영·사무·금융·보험,KECO2018
25.166666666666668,1995.0,2,1,1,5,3,2,180.0,180.0,,1.0,,2.0,3.0,4.0,4.0,4.0,,2,GOMS,2019,0.0,180.0,0.0,예술·디자인·방송·스포츠,KECO2018
23.5,1997.0,2,1,1,5,2,2,200.0,200.0,180.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,11,,GOMS,2019,1.0,180.0,11.11111111111111,예술·디자인·방송·스포츠,KECO2018
26.333333333333332,1994.0,2,1,1,3,1,,70.0,70.0,,1.0,,4.0,4.0,4.0,6.0,7.0,,,GOMS,2019,0.0,70.0,0.0,교육·법률·복지·공공,KECO2018
23.166666666666668,1997.0,2,1,1,5,4,1,200.0,170.0,,1.0,,4.0,3.0,3.0,6.0,6.0,,,GOMS,2019,0.0,170.0,17.647058823529413,예술·디자인·방송·스포츠,KECO2018
23.5,1997.0,2,1,1,6,2,2,100.0,100.0,,2.0,2.0,3.0,4.0,4.0,4.0,5.0,2,5,GOMS,2019,1.0,,,미용·여행·숙박·음식·경비·청소,KECO2018
,1952.0,1,1,1,1,1,2,120.0,120.0,,1.0,,4.0,4.0,4.0,5.0,4.0,,,GOMS,2019,0.0,120.0,0.0,경영·사무·금융·보험,KECO2018
22.5,1998.0,1,1,1,6,3,1,215.0,215.0,197.0,2.0,6.0,4.0,2.0,5.0,5.0,5.0,10,,GOMS,2019,1.0,197.0,9.137055837563452,미용·여행·숙박·음식·경비·청소,KECO2018
