person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100001,4,1.0,0,24.0,2.0,2.0,,2.0,2.0,200.0,4.0,5.0
100004,2,20.0,1,26.0,2.0,4.0,,2.0,1.0,220.0,4.0,5.0
100004,4,11.0,0,28.0,2.0,4.0,,7.0,1.0,250.0,3.0,4.0
100010,4,48.0,0,28.0,2.0,4.0,,5.0,1.0,170.324,4.0,4.0
100011,4,87.0,0,30.0,2.0,3.0,,6.0,1.0,333.3333333333333,3.0,5.0
100012,4,48.0,0,29.0,2.0,4.0,,7.0,1.0,208.33333333333334,4.0,4.0
100013,4,51.0,0,31.0,1.0,4.0,,8.0,1.0,250.0,4.0,5.0
100014,1,13.0,1,26.0,1.0,4.0,,4.0,1.0,750.0,4.0,3.0
100014,4,26.0,0,29.0,1.0,4.0,,1.0,4.0,500.0,5.0,5.0
100016,2,68.0,1,29.0,1.0,4.0,,4.0,1.0,291.6666666666667,4.0,4.0
100016,4,5.0,0,31.0,1.0,4.0,,9.0,1.0,208.33333333333334,5.0,5.0
100017,4,52.0,0,29.0,2.0,4.0,,1.0,1.0,200.0,5.0,3.0
100018,4,86.0,0,30.0,2.0,4.0,,6.0,1.0,250.0,3.0,4.0
100019,4,1.0,0,29.0,1.0,2.0,,1.0,2.0,170.324,4.0,3.0
100020,3,23.0,0,29.0,1.0,4.0,,7.0,1.0,250.0,3.0,3.0
100021,4,76.0,0,28.0,2.0,4.0,,1.0,1.0,220.0,3.0,4.0
100022,4,99.0,0,31.0,2.0,4.0,,7.0,1.0,266.6666666666667,4.0,3.0
100023,4,50.0,0,27.0,2.0,4.0,,5.0,1.0,258.3333333333333,4.0,4.0
100024,4,40.0,0,29.0,1.0,4.0,,9.0,1.0,200.0,4.0,3.0
100025,4,30.0,0,30.0,2.0,4.0,,2.0,1.0,200.0,4.0,3.0
100026,4,61.0,0,28.0,2.0,4.0,,6.0,1.0,225.0,5.0,5.0
100027,4,39.0,0,28.0,1.0,4.0,,6.0,1.0,233.33333333333334,3.0,4.0
100028,4,63.0,0,30.0,1.0,4.0,,6.0,1.0,250.0,3.0,4.0
100029,4,76.0,0,29.0,2.0,4.0,,6.0,1.0,291.6666666666667,3.0,4.0
100030,4,68.0,0,30.0,2.0,4.0,,6.0,1.0,250.0,3.0,4.0
100031,4,26.0,0,28.0,1.0,4.0,,1.0,1.0,208.33333333333334,4.0,3.0
100032,4,76.0,0,31.0,2.0,4.0,,5.0,1.0,241.66666666666666,4.0,3.0
100034,4,87.0,0,30.0,2.0,4.0,,6.0,1.0,250.0,4.0,4.0
100039,3,41.0,0,23.0,2.0,2.0,,2.0,1.0,310.0,4.0,5.0
100041,4,3.0,0,22.0,1.0,2.0,,2.0,1.0,275.0,5.0,4.0
100048,3,63.0,0,29.0,2.0,4.0,,2.0,1.0,320.0,4.0,4.0
100052,2,47.0,0,28.0,2.0,4.0,,5.0,1.0,240.0,3.0,3.0
