year,emp_type_code,emp_type,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2007,00,전체근로자,12149.0,188.8,217.8,184.7,173.2,11.4
2007,01,전체근로자(특수형태포함),,,217.8,185.8,174.8,11.0
2007,02,정규근로자,13336.0,193.2,243.5,202.7,189.3,13.4
2007,03,비정규근로자,7537.0,171.4,118.0,114.5,110.8,3.8
2007,04,비정규근로자(특수형태포함),,,134.9,131.3,128.1,3.1
2007,05,특수형태근로종사자,,,216.4,211.8,211.8,
2007,06,재택/가내근로자,6010.0,164.4,94.2,92.2,91.1,1.1
2007,07,파견/용역근로자,6249.0,208.9,117.6,114.4,106.5,8.0
2007,08,일일근로자,7968.0,160.6,122.1,121.9,119.9,1.9
2007,09,단시간근로자,6277.0,127.3,62.3,61.6,60.7,0.9
2007,10,기간제근로자,8586.0,193.6,151.8,142.5,136.2,6.3
2007,11,한시적근로자,7740.0,193.1,137.5,136.6,134.5,2.1
2008,00,전체근로자,12920.0,184.5,227.9,194.5,182.8,11.7
2008,01,전체근로자(특수형태포함),,,227.5,195.2,184.0,11.2
2008,02,정규근로자,14283.0,189.6,256.9,215.1,201.3,13.8
2008,03,비정규근로자,7932.0,165.7,122.0,118.9,115.1,3.8
2008,04,비정규근로자(특수형태포함),,,137.9,134.5,131.4,3.1
2008,05,특수형태근로종사자,,,217.5,213.0,213.0,
2008,06,재택/가내근로자,6003.0,162.0,82.8,80.9,79.8,1.1
2008,07,파견/용역근로자,6694.0,204.0,125.9,122.7,114.4,8.3
2008,08,일일근로자,8392.0,156.2,127.1,126.8,124.9,2.0
2008,09,단시간근로자,6627.0,121.6,64.9,64.3,63.4,0.9
2008,10,기간제근로자,9230.0,186.1,159.4,149.9,143.2,6.6
2008,11,한시적근로자,7966.0,187.1,135.3,134.4,132.2,2.2
2009,00,전체근로자,12382.0,189.0,227.7,196.0,184.9,11.1
2009,01,전체근로자(특수형태포함),,,226.9,196.4,185.8,10.6
2009,02,정규근로자,13828.0,195.7,260.6,219.9,206.3,13.5
2009,03,비정규근로자,7785.0,167.4,123.2,120.2,116.7,3.5
2009,04,비정규근로자(특수형태포함),,,137.3,134.1,131.2,2.9
2009,05,특수형태근로종사자,,,209.4,205.1,205.1,
2009,06,재택/가내근로자,5602.0,160.8,83.0,81.3,80.2,1.1
2009,07,파견/용역근로자,6630.0,206.7,129.2,126.3,118.5,7.8
2009,08,일일근로자,8243.0,157.0,127.4,127.2,125.5,1.7
2009,09,단시간근로자,6473.0,124.4,65.0,64.5,63.8,0.7
2009,10,기간제근로자,8923.0,189.3,159.7,151.1,144.6,6.5
2009,11,한시적근로자,7359.0,193.4,132.1,131.4,129.4,2.0
2010,00,전체근로자,12878.0,187.0,232.6,202.3,190.4,11.9
2010,01,전체근로자(특수형태포함),,,231.6,202.5,191.2,11.4
2010,02,정규근로자,14388.0,194.4,267.7,228.5,213.9,14.5
2010,03,비정규근로자,8236.0,164.2,124.4,121.9,118.1,3.8
2010,04,비정규근로자(특수형태포함),,,138.7,136.0,132.8,3.2
2010,05,특수형태근로종사자,,,211.1,207.2,207.2,
2010,06,재택/가내근로자,5755.0,151.6,83.3,81.7,80.6,1.1
2010,07,파견/용역근로자,6964.0,201.5,133.1,130.6,122.4,8.2
2010,08,일일근로자,8598.0,153.1,125.6,125.5,123.8,1.7
2010,09,단시간근로자,7052.0,122.6,65.7,65.3,64.5,0.7
2010,10,기간제근로자,9878.0,183.3,166.4,158.5,151.0,7.5
2010,11,한시적근로자,7325.0,189.7,132.5,131.9,129.9,2.0
