year,emp_type_code,emp_type,item,unit,value
2007,00,전체근로자,총근로일수,일,22.3
2007,00,전체근로자,총근로시간,시간,188.8
2007,00,전체근로자,소정실근로시간,시간,176.5
2007,00,전체근로자,초과근로시간,시간,12.3
2007,00,전체근로자,휴일근로시간,시간,
2007,00,전체근로자,시간당임금총액,원,12149.0
2007,00,전체근로자,시간당정액급여,원,10275.0
2007,00,전체근로자,월임금총액,천원,2178.0
2007,00,전체근로자,월급여액,천원,1847.0
2007,00,전체근로자,정액급여,천원,1732.0
2007,00,전체근로자,초과급여,천원,114.0
2007,00,전체근로자,전년도 연간특별급여/12개월,천원,332.0
2007,00,전체근로자,전년도 연간특별급여,천원,3978.0
2008,00,전체근로자,총근로일수,일,21.7
2008,00,전체근로자,총근로시간,시간,184.5
2008,00,전체근로자,소정실근로시간,시간,172.8
2008,00,전체근로자,초과근로시간,시간,11.7
2008,00,전체근로자,휴일근로시간,시간,
2008,00,전체근로자,시간당임금총액,원,12920.0
2008,00,전체근로자,시간당정액급여,원,10996.0
2008,00,전체근로자,월임금총액,천원,2279.0
2008,00,전체근로자,월급여액,천원,1945.0
2008,00,전체근로자,정액급여,천원,1828.0
2008,00,전체근로자,초과급여,천원,117.0
2008,00,전체근로자,전년도 연간특별급여/12개월,천원,335.0
2008,00,전체근로자,전년도 연간특별급여,천원,4017.0
2009,00,전체근로자,총근로일수,일,22.5
2009,00,전체근로자,총근로시간,시간,189.0
2009,00,전체근로자,소정실근로시간,시간,178.7
2009,00,전체근로자,초과근로시간,시간,10.3
2009,00,전체근로자,휴일근로시간,시간,
2009,00,전체근로자,시간당임금총액,원,12382.0
2009,00,전체근로자,시간당정액급여,원,10591.0
2009,00,전체근로자,월임금총액,천원,2277.0
2009,00,전체근로자,월급여액,천원,1960.0
2009,00,전체근로자,정액급여,천원,1849.0
2009,00,전체근로자,초과급여,천원,111.0
2009,00,전체근로자,전년도 연간특별급여/12개월,천원,317.0
2009,00,전체근로자,전년도 연간특별급여,천원,3801.0
2010,00,전체근로자,총근로일수,일,22.2
2010,00,전체근로자,총근로시간,시간,187.0
2010,00,전체근로자,소정실근로시간,시간,176.2
2010,00,전체근로자,초과근로시간,시간,10.8
2010,00,전체근로자,휴일근로시간,시간,
2010,00,전체근로자,시간당임금총액,원,12878.0
2010,00,전체근로자,시간당정액급여,원,11155.0
2010,00,전체근로자,월임금총액,천원,2326.0
2010,00,전체근로자,월급여액,천원,2023.0
2010,00,전체근로자,정액급여,천원,1904.0
2010,00,전체근로자,초과급여,천원,119.0
2010,00,전체근로자,전년도 연간특별급여/12개월,천원,303.0
2010,00,전체근로자,전년도 연간특별급여,천원,3630.0
2011,00,전체근로자,총근로일수,일,21.6
2011,00,전체근로자,총근로시간,시간,180.8
2011,00,전체근로자,소정실근로시간,시간,169.5
2011,00,전체근로자,초과근로시간,시간,11.3
2011,00,전체근로자,휴일근로시간,시간,
2011,00,전체근로자,시간당임금총액,원,13769.0
2011,00,전체근로자,시간당정액급여,원,11916.0
2011,00,전체근로자,월임금총액,천원,2428.0
2011,00,전체근로자,월급여액,천원,2102.0
2011,00,전체근로자,정액급여,천원,1970.0
2011,00,전체근로자,초과급여,천원,131.0
2011,00,전체근로자,전년도 연간특별급여/12개월,천원,326.0
