year,emp_type,ksic_section,industry,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2020,비정규근로자,A,"농업, 임업 및 어업",13107.0,133.8,170.4,164.7,160.0,4.7
2020,비정규근로자,B,광업,15123.0,149.8,208.1,204.7,171.7,33.0
2020,비정규근로자,C,제조업,13357.0,157.2,202.1,196.1,169.9,26.2
2020,비정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",17560.0,177.4,306.5,294.0,279.9,14.1
2020,비정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",15492.0,155.0,232.9,223.3,201.9,21.4
2020,비정규근로자,F,건설업,22103.0,90.2,197.9,197.0,194.7,2.3
2020,비정규근로자,G,도매 및 소매업,11821.0,103.8,122.0,120.3,117.9,2.4
2020,비정규근로자,H,운수 및 창고업,14191.0,145.3,195.6,192.6,171.3,21.3
2020,비정규근로자,I,숙박 및 음식점업,10556.0,91.6,98.3,98.0,95.6,2.3
2020,비정규근로자,J,정보통신업,16037.0,147.6,242.2,234.7,230.3,4.4
2020,비정규근로자,K,금융 및 보험업,22603.0,167.3,382.2,314.6,307.2,7.4
2020,비정규근로자,L,부동산업,11832.0,172.5,196.7,195.1,190.7,4.4
2020,비정규근로자,M,"전문, 과학 및 기술 서비스업",17190.0,148.8,253.8,245.3,240.3,5.0
2020,비정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",13755.0,125.9,169.3,164.9,157.2,7.7
2020,비정규근로자,P,교육 서비스업,22361.0,98.2,156.5,154.8,153.4,1.3
2020,비정규근로자,Q,보건업 및 사회복지서비스업,13030.0,106.6,138.2,136.0,133.1,3.0
2020,비정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",11640.0,112.0,130.2,129.1,126.0,3.0
2020,비정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",13574.0,99.9,126.3,124.4,123.0,1.4
2020,비정규근로자,전체,전체,15015.0,114.0,162.0,158.8,152.9,5.9
2020,비정규직근로자(특수형태포함),A,"농업, 임업 및 어업",,,170.5,164.8,160.1,4.7
2020,비정규직근로자(특수형태포함),B,광업,,,236.0,232.8,201.9,31.0
2020,비정규직근로자(특수형태포함),C,제조업,,,205.0,199.3,174.5,24.8
2020,비정규직근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,306.0,293.6,279.6,14.0
2020,비정규직근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,234.4,225.2,204.7,20.5
2020,비정규직근로자(특수형태포함),F,건설업,,,199.8,199.0,196.7,2.3
2020,비정규직근로자(특수형태포함),G,도매 및 소매업,,,162.7,161.5,159.7,1.7
2020,비정규직근로자(특수형태포함),H,운수 및 창고업,,,300.4,298.5,285.5,13.0
2020,비정규직근로자(특수형태포함),I,숙박 및 음식점업,,,99.1,98.8,96.4,2.3
2020,비정규직근로자(특수형태포함),J,정보통신업,,,238.7,232.6,229.0,3.5
2020,비정규직근로자(특수형태포함),K,금융 및 보험업,,,344.9,331.1,329.6,1.5
2020,비정규직근로자(특수형태포함),L,부동산업,,,195.0,193.6,189.4,4.2
2020,비정규직근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,260.8,252.7,248.1,4.6
2020,비정규직근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,187.4,183.8,177.6,6.2
2020,비정규직근로자(특수형태포함),P,교육 서비스업,,,173.7,172.5,171.7,0.8
2020,비정규직근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,137.2,135.1,132.2,2.9
2020,비정규직근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,170.1,169.3,167.2,2.1
2020,비정규직근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,153.8,152.5,151.5,1.0
2020,비정규직근로자(특수형태포함),전체,전체,,,182.8,180.1,175.2,4.9
2020,전체근로자,A,"농업, 임업 및 어업",18321.0,164.0,303.0,263.2,256.1,7.1
2020,전체근로자,B,광업,21561.0,194.4,404.1,363.5,322.7,40.8
2020,전체근로자,C,제조업,20358.0,182.0,366.3,317.8,287.5,30.3
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",34879.0,178.7,614.2,476.9,445.4,31.5
2020,전체근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",19800.0,185.7,364.7,334.8,303.2,31.6
2020,전체근로자,F,건설업,20944.0,134.1,275.6,265.0,258.2,6.8
2020,전체근로자,G,도매 및 소매업,17903.0,164.2,299.9,277.9,271.8,6.0
2020,전체근로자,H,운수 및 창고업,18908.0,170.0,319.2,286.7,261.8,24.9
2020,전체근로자,I,숙박 및 음식점업,11435.0,135.2,158.8,155.9,151.6,4.3
2020,전체근로자,J,정보통신업,24735.0,175.8,435.1,394.2,381.0,13.2
2020,전체근로자,K,금융 및 보험업,33370.0,176.3,586.5,448.7,436.9,11.8
2020,전체근로자,L,부동산업,15199.0,174.6,261.0,245.5,240.8,4.7
2020,전체근로자,M,"전문, 과학 및 기술 서비스업",26078.0,173.9,455.5,395.9,381.3,14.6
2020,전체근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",17164.0,166.6,287.1,266.3,253.6,12.8
2020,전체근로자,P,교육 서비스업,23505.0,139.9,304.2,284.9,281.3,3.6
2020,전체근로자,Q,보건업 및 사회복지서비스업,16036.0,157.7,258.6,245.0,235.7,9.3
2020,전체근로자,R,"예술, 스포츠 및 여가관련 서비스업",14872.0,148.3,222.1,210.5,201.7,8.8
2020,전체근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",15062.0,161.6,242.1,226.0,221.2,4.9
2020,전체근로자,전체,전체,19316.0,163.6,318.0,286.6,272.3,14.3
2020,전체근로자(특수형태포함),A,"농업, 임업 및 어업",,,303.0,263.3,256.2,7.1
2020,전체근로자(특수형태포함),B,광업,,,405.4,365.1,324.4,40.6
2020,전체근로자(특수형태포함),C,제조업,,,365.6,317.5,287.3,30.1
2020,전체근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,614.1,476.8,445.3,31.5
2020,전체근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,364.2,334.5,303.1,31.4
2020,전체근로자(특수형태포함),F,건설업,,,276.2,265.7,258.9,6.7
2020,전체근로자(특수형태포함),G,도매 및 소매업,,,297.3,276.9,271.3,5.6
2020,전체근로자(특수형태포함),H,운수 및 창고업,,,332.9,303.4,280.8,22.6
2020,전체근로자(특수형태포함),I,숙박 및 음식점업,,,159.1,156.2,151.9,4.3
2020,전체근로자(특수형태포함),J,정보통신업,,,431.7,391.4,378.5,13.0
2020,전체근로자(특수형태포함),K,금융 및 보험업,,,507.9,413.3,405.1,8.1
2020,전체근로자(특수형태포함),L,부동산업,,,258.3,243.2,238.7,4.6
2020,전체근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,454.5,395.4,380.9,14.5
2020,전체근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,286.0,266.2,254.0,12.2
2020,전체근로자(특수형태포함),P,교육 서비스업,,,281.7,266.5,263.7,2.8
2020,전체근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,257.1,243.6,234.4,9.2
2020,전체근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,228.3,218.5,211.0,7.5
2020,전체근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,239.9,225.1,220.7,4.5
2020,전체근로자(특수형태포함),전체,전체,,,316.1,286.2,272.7,13.6
2020,정규근로자,A,"농업, 임업 및 어업",21126.0,180.3,374.3,316.2,307.8,8.4
2020,정규근로자,B,광업,22100.0,198.1,420.5,376.8,335.3,41.5
2020,정규근로자,C,제조업,21216.0,185.1,386.4,332.8,301.9,30.8
2020,정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",36448.0,178.8,642.1,493.5,460.4,33.1
2020,정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",20413.0,190.1,383.4,350.7,317.6,33.0
2020,정규근로자,F,건설업,19786.0,177.9,353.2,332.9,321.6,11.2
2020,정규근로자,G,도매 및 소매업,19390.0,178.9,343.4,316.4,309.5,6.9
2020,정규근로자,H,운수 및 창고업,19824.0,174.8,343.3,304.9,279.3,25.6
2020,정규근로자,I,숙박 및 음식점업,12474.0,186.8,230.3,224.6,217.8,6.7
2020,정규근로자,J,정보통신업,25416.0,178.0,450.2,406.7,392.8,13.9
2020,정규근로자,K,금융 및 보험업,34790.0,177.5,613.5,466.4,454.0,12.4
2020,정규근로자,L,부동산업,19967.0,177.5,352.1,317.0,311.8,5.2
2020,정규근로자,M,"전문, 과학 및 기술 서비스업",27052.0,176.7,477.6,412.4,396.7,15.7
2020,정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",17956.0,176.1,314.4,289.9,276.0,13.9
2020,정규근로자,P,교육 서비스업,24375.0,171.6,416.4,383.7,378.3,5.4
2020,정규근로자,Q,보건업 및 사회복지서비스업,17200.0,177.5,305.3,287.2,275.4,11.8
2020,정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",17216.0,174.6,288.8,269.6,256.6,13.0
2020,정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",15449.0,177.6,272.3,252.5,246.8,5.8
2020,정규근로자,전체,전체,20731.0,179.8,369.3,328.6,311.6,17.0
2021,비정규근로자,A,"농업, 임업 및 어업",14300.0,137.6,181.6,174.9,167.1,7.8
2021,비정규근로자,B,광업,16265.0,127.3,193.7,189.4,170.3,19.1
2021,비정규근로자,C,제조업,13636.0,162.5,216.1,211.0,180.4,30.6
2021,비정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",18397.0,168.5,302.8,282.8,266.5,16.3
2021,비정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",15172.0,154.8,230.9,224.8,205.2,19.6
2021,비정규근로자,F,건설업,22936.0,91.9,208.3,207.5,204.9,2.7
2021,비정규근로자,G,도매 및 소매업,11775.0,105.1,125.2,123.7,120.1,3.6
2021,비정규근로자,H,운수 및 창고업,15303.0,143.1,216.6,213.6,190.7,22.9
2021,비정규근로자,I,숙박 및 음식점업,10835.0,90.1,97.7,97.3,95.0,2.3
2021,비정규근로자,J,정보통신업,15230.0,146.5,224.9,219.5,216.1,3.4
2021,비정규근로자,K,금융 및 보험업,23760.0,168.0,404.5,329.3,320.4,8.9
2021,비정규근로자,L,부동산업,11900.0,171.7,198.9,197.8,193.7,4.1
2021,비정규근로자,M,"전문, 과학 및 기술 서비스업",17761.0,146.5,257.4,249.8,243.2,6.6
2021,비정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",14026.0,131.7,176.4,172.5,164.1,8.4
2021,비정규근로자,P,교육 서비스업,24105.0,96.4,158.5,156.3,154.5,1.8
2021,비정규근로자,Q,보건업 및 사회복지서비스업,12958.0,107.1,136.3,134.8,131.7,3.1
2021,비정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",12151.0,114.0,136.8,136.0,132.3,3.7
2021,비정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",13964.0,105.8,138.0,135.8,134.4,1.4
2021,비정규근로자,전체,전체,15482.0,115.4,168.1,164.9,158.3,6.7
2021,비정규직근로자(특수형태포함),A,"농업, 임업 및 어업",,,181.9,175.2,167.5,7.8
2021,비정규직근로자(특수형태포함),B,광업,,,256.0,252.2,235.6,16.7
2021,비정규직근로자(특수형태포함),C,제조업,,,221.0,216.1,187.3,28.8
2021,비정규직근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,301.6,281.7,265.5,16.2
2021,비정규직근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,232.8,226.9,207.9,19.0
2021,비정규직근로자(특수형태포함),F,건설업,,,207.8,207.1,204.5,2.7
2021,비정규직근로자(특수형태포함),G,도매 및 소매업,,,153.5,152.3,149.7,2.6
2021,비정규직근로자(특수형태포함),H,운수 및 창고업,,,347.3,345.5,331.6,13.9
2021,비정규직근로자(특수형태포함),I,숙박 및 음식점업,,,98.4,98.0,95.7,2.3
2021,비정규직근로자(특수형태포함),J,정보통신업,,,226.8,222.2,219.2,3.0
2021,비정규직근로자(특수형태포함),K,금융 및 보험업,,,347.5,331.0,329.1,2.0
2021,비정규직근로자(특수형태포함),L,부동산업,,,198.3,197.2,193.2,4.0
2021,비정규직근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,256.1,249.0,243.0,6.0
2021,비정규직근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,193.0,189.6,182.6,7.0
2021,비정규직근로자(특수형태포함),P,교육 서비스업,,,176.9,175.5,174.4,1.1
2021,비정규직근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,135.2,133.7,130.8,2.9
2021,비정규직근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,183.4,182.8,180.1,2.6
