year,emp_type,ksic_section,industry,item,unit,value
2020,전체근로자,전체,전체,총근로일수,일,20.7
2020,전체근로자,전체,전체,총근로시간,시간,163.6
2020,전체근로자,전체,전체,소정실근로시간,시간,157.1
2020,전체근로자,전체,전체,초과근로시간,시간,6.5
2020,전체근로자,전체,전체,휴일근로시간,시간,1.6
2020,전체근로자,전체,전체,시간당임금총액,원,19316.0
2020,전체근로자,전체,전체,시간당정액급여,원,17349.0
2020,전체근로자,전체,전체,월임금총액,천원,3180.0
2020,전체근로자,전체,전체,월급여액,천원,2866.0
2020,전체근로자,전체,전체,정액급여,천원,2723.0
2020,전체근로자,전체,전체,초과급여,천원,143.0
2020,전체근로자,전체,전체,전년도 연간특별급여/12개월,천원,314.0
2020,전체근로자,전체,전체,전년도 연간특별급여,천원,3770.0
2021,전체근로자,전체,전체,총근로일수,일,20.8
2021,전체근로자,전체,전체,총근로시간,시간,164.2
2021,전체근로자,전체,전체,소정실근로시간,시간,157.2
2021,전체근로자,전체,전체,초과근로시간,시간,6.9
2021,전체근로자,전체,전체,휴일근로시간,시간,1.7
2021,전체근로자,전체,전체,시간당임금총액,원,19806.0
2021,전체근로자,전체,전체,시간당정액급여,원,17931.0
2021,전체근로자,전체,전체,월임금총액,천원,3271.0
2021,전체근로자,전체,전체,월급여액,천원,2974.0
2021,전체근로자,전체,전체,정액급여,천원,2816.0
2021,전체근로자,전체,전체,초과급여,천원,158.0
2021,전체근로자,전체,전체,전년도 연간특별급여/12개월,천원,298.0
2021,전체근로자,전체,전체,전년도 연간특별급여,천원,3572.0
2022,전체근로자,전체,전체,총근로일수,일,19.6
2022,전체근로자,전체,전체,총근로시간,시간,154.9
2022,전체근로자,전체,전체,소정실근로시간,시간,147.4
2022,전체근로자,전체,전체,초과근로시간,시간,7.5
2022,전체근로자,전체,전체,휴일근로시간,시간,2.2
2022,전체근로자,전체,전체,시간당임금총액,원,22651.0
2022,전체근로자,전체,전체,시간당정액급여,원,20308.0
2022,전체근로자,전체,전체,월임금총액,천원,3526.0
2022,전체근로자,전체,전체,월급여액,천원,3172.0
2022,전체근로자,전체,전체,정액급여,천원,2992.0
2022,전체근로자,전체,전체,초과급여,천원,180.0
2022,전체근로자,전체,전체,전년도 연간특별급여/12개월,천원,355.0
2022,전체근로자,전체,전체,전년도 연간특별급여,천원,4255.0
2023,전체근로자,전체,전체,총근로일수,일,20.0
2023,전체근로자,전체,전체,총근로시간,시간,157.6
2023,전체근로자,전체,전체,소정실근로시간,시간,150.3
2023,전체근로자,전체,전체,초과근로시간,시간,7.4
2023,전체근로자,전체,전체,휴일근로시간,시간,2.0
2023,전체근로자,전체,전체,시간당임금총액,원,22878.0
2023,전체근로자,전체,전체,시간당정액급여,원,20485.0
2023,전체근로자,전체,전체,월임금총액,천원,3640.0
2023,전체근로자,전체,전체,월급여액,천원,3267.0
2023,전체근로자,전체,전체,정액급여,천원,3085.0
2023,전체근로자,전체,전체,초과급여,천원,182.0
