year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2006,비정규근로자,29세이하,5899.0,164.0,93.1,90.2,84.9,5.3
2006,비정규근로자,30~39세,7961.0,173.2,125.4,120.6,114.3,6.3
2006,비정규근로자,40~49세,7317.0,171.4,116.6,113.1,109.4,3.8
2006,비정규근로자,50~59세,7216.0,178.0,116.7,112.7,109.1,3.6
2006,비정규근로자,60세이상,5421.0,217.8,96.7,94.1,91.9,2.1
2006,비정규근로자,전체,6816.0,173.2,108.9,105.3,100.5,4.8
2006,비정규직근로자(특수형태포함),29세이하,,,98.0,95.4,90.4,5.0
2006,비정규직근로자(특수형태포함),30~39세,,,154.0,149.1,144.3,4.8
2006,비정규직근로자(특수형태포함),40~49세,,,140.5,137.0,134.1,2.9
2006,비정규직근로자(특수형태포함),50~59세,,,125.4,122.0,118.8,3.1
2006,비정규직근로자(특수형태포함),60세이상,,,96.8,94.5,92.5,1.9
2006,비정규직근로자(특수형태포함),전체,,,125.7,122.2,118.2,4.0
2006,전체근로자,29세이하,7920.0,186.9,144.1,127.3,118.8,8.6
2006,전체근로자,30~39세,12178.0,192.3,225.1,188.7,177.2,11.5
2006,전체근로자,40~49세,13396.0,195.5,250.0,204.9,190.8,14.1
2006,전체근로자,50~59세,12580.0,198.9,235.7,194.8,181.1,13.7
2006,전체근로자,60세이상,8085.0,219.1,152.3,138.3,135.3,2.9
2006,전체근로자,전체,11172.0,193.4,206.9,174.2,163.0,11.2
2006,전체근로자(특수형태포함),29세이하,,,144.5,128.0,119.7,8.4
2006,전체근로자(특수형태포함),30~39세,,,225.9,190.9,180.0,11.0
2006,전체근로자(특수형태포함),40~49세,,,248.4,205.5,192.2,13.3
2006,전체근로자(특수형태포함),50~59세,,,233.5,194.1,180.9,13.2
2006,전체근로자(특수형태포함),60세이상,,,150.2,136.7,133.9,2.8
2006,전체근로자(특수형태포함),전체,,,207.1,175.6,164.8,10.8
2006,정규근로자,29세이하,8654.0,195.2,162.7,140.8,131.1,9.7
2006,정규근로자,30~39세,12920.0,195.6,242.7,200.7,188.3,12.4
2006,정규근로자,40~49세,14796.0,201.1,280.8,226.1,209.6,16.4
2006,정규근로자,50~59세,14194.0,205.2,271.5,219.5,202.7,16.7
2006,정규근로자,60세이상,9723.0,219.9,186.6,165.4,162.0,3.4
2006,정규근로자,전체,12328.0,198.7,233.0,192.5,179.6,12.9
2007,비정규근로자,29세이하,6314.0,162.9,101.2,97.9,94.0,3.9
2007,비정규근로자,30~39세,8762.0,168.6,133.1,128.3,123.9,4.3
2007,비정규근로자,40~49세,8226.0,170.5,126.6,123.5,119.7,3.8
2007,비정규근로자,50~59세,8244.0,176.3,129.6,126.3,122.7,3.6
2007,비정규근로자,60세이상,6007.0,210.5,102.0,99.8,97.6,2.2
2007,비정규근로자,전체,7537.0,171.4,118.0,114.5,110.8,3.8
2007,비정규직근로자(특수형태포함),29세이하,,,106.4,103.0,99.5,3.6
2007,비정규직근로자(특수형태포함),30~39세,,,157.8,153.0,149.7,3.3
2007,비정규직근로자(특수형태포함),40~49세,,,152.8,149.6,146.8,2.9
2007,비정규직근로자(특수형태포함),50~59세,,,139.6,135.7,132.7,3.0
2007,비정규직근로자(특수형태포함),60세이상,,,104.2,101.5,99.5,2.0
2007,비정규직근로자(특수형태포함),전체,,,134.9,131.3,128.1,3.1
2007,전체근로자,29세이하,8581.0,184.7,155.1,137.0,127.6,9.3
2007,전체근로자,30~39세,13394.0,186.4,238.0,199.4,187.5,11.9
2007,전체근로자,40~49세,14433.0,190.2,259.0,215.0,201.0,14.0
2007,전체근로자,50~59세,13554.0,194.6,244.9,206.9,194.4,12.6
2007,전체근로자,60세이상,8791.0,210.2,159.5,146.0,142.7,3.3
2007,전체근로자,전체,12149.0,188.8,217.8,184.7,173.2,11.4
2007,전체근로자(특수형태포함),29세이하,,,155.4,137.6,128.4,9.2
2007,전체근로자(특수형태포함),30~39세,,,237.9,200.7,189.4,11.4
2007,전체근로자(특수형태포함),40~49세,,,257.7,216.0,202.8,13.2
2007,전체근로자(특수형태포함),50~59세,,,242.3,205.8,193.8,12.0
2007,전체근로자(특수형태포함),60세이상,,,158.3,145.1,141.9,3.2
2007,전체근로자(특수형태포함),전체,,,217.8,185.8,174.8,11.0
2007,정규근로자,29세이하,9329.0,192.0,172.9,149.9,138.7,11.2
2007,정규근로자,30~39세,14162.0,189.3,255.4,211.2,198.1,13.2
2007,정규근로자,40~49세,15905.0,194.9,290.5,236.8,220.3,16.5
2007,정규근로자,50~59세,15226.0,200.4,281.2,232.3,217.0,15.4
2007,정규근로자,60세이상,10560.0,210.0,196.1,175.5,171.4,4.1
2007,정규근로자,전체,13336.0,193.2,243.5,202.7,189.3,13.4
2008,비정규근로자,29세이하,6466.0,156.6,101.1,98.5,94.8,3.7
2008,비정규근로자,30~39세,9639.0,163.2,141.6,136.8,132.2,4.6
2008,비정규근로자,40~49세,8700.0,165.2,130.7,127.7,124.1,3.5
2008,비정규근로자,50~59세,8198.0,170.6,130.8,128.1,124.5,3.6
2008,비정규근로자,60세이상,6491.0,201.9,111.6,110.1,107.4,2.7
2008,비정규근로자,전체,7932.0,165.7,122.0,118.9,115.1,3.8
2008,비정규직근로자(특수형태포함),29세이하,,,106.2,103.7,100.3,3.4
2008,비정규직근로자(특수형태포함),30~39세,,,162.2,157.5,154.0,3.5
2008,비정규직근로자(특수형태포함),40~49세,,,156.2,152.4,149.7,2.7
2008,비정규직근로자(특수형태포함),50~59세,,,142.2,139.2,136.2,3.1
2008,비정규직근로자(특수형태포함),60세이상,,,112.7,111.1,108.6,2.5
2008,비정규직근로자(특수형태포함),전체,,,137.9,134.5,131.4,3.1
2008,전체근로자,29세이하,9185.0,178.6,161.2,143.1,134.2,8.9
2008,전체근로자,30~39세,14219.0,183.1,248.9,210.3,198.1,12.3
2008,전체근로자,40~49세,15185.0,186.8,269.3,224.7,210.1,14.6
