year,ksic_section,industry,owner_group,소멸,소멸률,신생,신생률,활동
2011,A,"농업, 임업 및 어업",30대,209.0,15.9,26.0,2.0,1315.0
2011,A,"농업, 임업 및 어업",30대 미만,36.0,19.7,7.0,3.8,183.0
2011,A,"농업, 임업 및 어업",40대,765.0,14.4,71.0,1.3,5317.0
2011,A,"농업, 임업 및 어업",50대,1535.0,12.6,110.0,0.9,12223.0
2011,A,"농업, 임업 및 어업",60대,1121.0,16.9,44.0,0.7,6652.0
2011,A,"농업, 임업 및 어업",70대 이상,542.0,27.3,9.0,0.5,1986.0
2011,A,"농업, 임업 및 어업",계,6507.0,16.4,3057.0,7.7,39758.0
2011,A,"농업, 임업 및 어업",남자,5376.0,16.1,2325.0,7.0,33432.0
2011,A,"농업, 임업 및 어업",여자,1131.0,17.9,732.0,11.6,6326.0
2011,A,"농업, 임업 및 어업",연령미상,2299.0,19.0,2790.0,23.1,12082.0
2011,B,광업,30대,26.0,20.8,19.0,15.2,125.0
2011,B,광업,30대 미만,2.0,8.0,3.0,12.0,25.0
2011,B,광업,40대,46.0,13.1,53.0,15.1,350.0
2011,B,광업,50대,74.0,11.7,51.0,8.1,631.0
2011,B,광업,60대,61.0,16.1,24.0,6.3,380.0
2011,B,광업,70대 이상,35.0,19.1,12.0,6.6,183.0
2011,B,광업,계,248.0,14.2,174.0,10.0,1747.0
2011,B,광업,남자,213.0,14.5,140.0,9.5,1468.0
2011,B,광업,여자,35.0,12.5,34.0,12.2,279.0
2011,B,광업,연령미상,4.0,7.5,12.0,22.6,53.0
2011,C,제조업,30대,6775.0,11.6,12532.0,21.5,58163.0
2011,C,제조업,30대 미만,1437.0,16.6,2949.0,34.1,8645.0
2011,C,제조업,40대,15245.0,8.6,20502.0,11.6,176538.0
2011,C,제조업,50대,12296.0,7.4,12495.0,7.5,166288.0
2011,C,제조업,60대,3672.0,8.3,2514.0,5.7,44475.0
2011,C,제조업,70대 이상,1038.0,10.6,570.0,5.8,9770.0
2011,C,제조업,계,40793.0,8.7,52351.0,11.2,468014.0
2011,C,제조업,남자,30082.0,8.0,37917.0,10.1,374442.0
2011,C,제조업,여자,10711.0,11.4,14434.0,15.4,93572.0
2011,C,제조업,연령미상,330.0,8.0,789.0,19.1,4135.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",30대,12.0,6.5,24.0,13.0,184.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",30대 미만,,,5.0,23.8,21.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",40대,32.0,5.6,83.0,14.6,569.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",50대,33.0,3.9,149.0,17.6,847.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",60대,10.0,2.6,30.0,7.9,380.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",70대 이상,7.0,5.9,12.0,10.2,118.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",계,99.0,4.5,316.0,14.4,2192.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",남자,71.0,4.8,195.0,13.2,1475.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",여자,28.0,3.9,121.0,16.9,717.0
2011,D,"전기, 가스, 증기 및 공기조절 공급업",연령미상,5.0,6.8,13.0,17.8,73.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",30대,92.0,10.0,210.0,22.9,916.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",30대 미만,19.0,13.1,46.0,31.7,145.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",40대,225.0,8.2,458.0,16.8,2731.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",50대,194.0,6.6,413.0,14.0,2956.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",60대,76.0,7.2,122.0,11.6,1053.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",70대 이상,18.0,6.4,30.0,10.6,282.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",계,635.0,7.7,1306.0,15.8,8287.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",남자,478.0,7.2,981.0,14.8,6645.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",여자,157.0,9.6,325.0,19.8,1642.0
2011,E,"수도, 하수 및 폐기물처리, 원료재생업",연령미상,11.0,5.4,27.0,13.2,204.0
2011,F,건설업,30대,4866.0,8.8,8008.0,14.4,55534.0
2011,F,건설업,30대 미만,829.0,12.1,1568.0,22.8,6871.0
2011,F,건설업,40대,10564.0,7.9,13831.0,10.3,134531.0
2011,F,건설업,50대,8208.0,7.8,8600.0,8.2,105397.0
2011,F,건설업,60대,2180.0,9.3,1858.0,8.0,23353.0
2011,F,건설업,70대 이상,511.0,12.2,373.0,8.9,4199.0
2011,F,건설업,계,27815.0,8.3,34708.0,10.4,333819.0
2011,F,건설업,남자,21437.0,7.9,26069.0,9.7,270090.0
2011,F,건설업,여자,6378.0,10.0,8639.0,13.6,63729.0
2011,F,건설업,연령미상,657.0,16.7,470.0,11.9,3934.0
2011,G,도매 및 소매업,30대,52768.0,18.8,70211.0,25.1,280167.0
2011,G,도매 및 소매업,30대 미만,19200.0,29.3,29006.0,44.3,65526.0
2011,G,도매 및 소매업,40대,60363.0,13.5,68238.0,15.3,446435.0
2011,G,도매 및 소매업,50대,40550.0,11.8,38369.0,11.1,344705.0
2011,G,도매 및 소매업,60대,15548.0,12.9,11278.0,9.3,120669.0
2011,G,도매 및 소매업,70대 이상,5928.0,15.4,3220.0,8.4,38508.0
2011,G,도매 및 소매업,계,195990.0,15.0,222530.0,17.0,1305369.0
2011,G,도매 및 소매업,남자,98733.0,13.3,112414.0,15.1,744668.0
2011,G,도매 및 소매업,여자,97257.0,17.3,110116.0,19.6,560701.0
2011,G,도매 및 소매업,연령미상,1633.0,17.4,2208.0,23.6,9359.0
2011,H,운수 및 창고업,30대,5586.0,8.1,9596.0,13.9,69031.0
2011,H,운수 및 창고업,30대 미만,1166.0,10.8,2442.0,22.6,10822.0
2011,H,운수 및 창고업,40대,10051.0,6.7,13515.0,9.0,149550.0
2011,H,운수 및 창고업,50대,11003.0,5.5,13457.0,6.7,201187.0
2011,H,운수 및 창고업,60대,5469.0,5.9,4021.0,4.4,92129.0
2011,H,운수 및 창고업,70대 이상,1560.0,9.9,474.0,3.0,15689.0
2011,H,운수 및 창고업,계,34975.0,6.5,43700.0,8.1,539808.0
2011,H,운수 및 창고업,남자,30257.0,6.2,37072.0,7.6,487802.0
2011,H,운수 및 창고업,여자,4718.0,9.1,6628.0,12.7,52006.0
2011,H,운수 및 창고업,연령미상,140.0,10.0,195.0,13.9,1400.0
2011,I,숙박 및 음식점업,30대,32197.0,24.3,39677.0,29.9,132519.0
2011,I,숙박 및 음식점업,30대 미만,12234.0,26.9,17571.0,38.7,45398.0
2011,I,숙박 및 음식점업,40대,50656.0,20.2,54869.0,21.9,250721.0
2011,I,숙박 및 음식점업,50대,42967.0,17.6,40235.0,16.5,244083.0
2011,I,숙박 및 음식점업,60대,11609.0,16.8,9194.0,13.3,68911.0
2011,I,숙박 및 음식점업,70대 이상,3326.0,19.3,2193.0,12.7,17212.0
2011,I,숙박 및 음식점업,계,153940.0,20.2,164557.0,21.6,761907.0
2011,I,숙박 및 음식점업,남자,56811.0,20.8,63058.0,23.1,272997.0
2011,I,숙박 및 음식점업,여자,97129.0,19.9,101499.0,20.8,488910.0
2011,I,숙박 및 음식점업,연령미상,951.0,31.0,818.0,26.7,3063.0
2011,J,정보통신업,30대,2835.0,16.4,5060.0,29.3,17299.0
2011,J,정보통신업,30대 미만,578.0,28.6,1097.0,54.2,2024.0
2011,J,정보통신업,40대,2839.0,13.0,4347.0,19.9,21811.0
2011,J,정보통신업,50대,1121.0,11.9,1906.0,20.3,9407.0
2011,J,정보통신업,60대,329.0,14.1,616.0,26.3,2338.0
2011,J,정보통신업,70대 이상,140.0,16.8,297.0,35.6,834.0
2011,J,정보통신업,계,7966.0,14.5,13629.0,24.8,55056.0
2011,J,정보통신업,남자,6071.0,13.7,10224.0,23.0,44436.0
2011,J,정보통신업,여자,1895.0,17.8,3405.0,32.1,10620.0
2011,J,정보통신업,연령미상,124.0,9.2,306.0,22.8,1343.0
