year,industry,ksic_section,owner_group,item,value
2011,전체,전체,계,활동,5344863.0
2011,전체,전체,계,신생,812455.0
2011,전체,전체,계,소멸,689550.0
2011,전체,전체,계,신생률,15.2
2011,전체,전체,계,소멸률,12.9
2012,전체,전체,계,활동,5418402.0
2012,전체,전체,계,신생,775450.0
2012,전체,전체,계,소멸,746352.0
2012,전체,전체,계,신생률,14.3
2012,전체,전체,계,소멸률,13.8
2013,전체,전체,계,활동,5419315.0
2013,전체,전체,계,신생,755944.0
2013,전체,전체,계,소멸,670717.0
2013,전체,전체,계,신생률,13.9
2013,전체,전체,계,소멸률,12.4
2014,전체,전체,계,활동,5600663.0
2014,전체,전체,계,신생,849468.0
2014,전체,전체,계,소멸,782039.0
2014,전체,전체,계,신생률,15.2
2014,전체,전체,계,소멸률,14.0
2015,전체,전체,계,활동,5597935.0
2015,전체,전체,계,신생,821077.0
2015,전체,전체,계,소멸,647304.0
2015,전체,전체,계,신생률,14.7
2015,전체,전체,계,소멸률,11.6
2016,전체,전체,계,활동,5821078.0
2016,전체,전체,계,신생,884344.0
2016,전체,전체,계,소멸,632011.0
2016,전체,전체,계,신생률,15.2
2016,전체,전체,계,소멸률,10.9
2017,전체,전체,계,활동,6098631.0
2017,전체,전체,계,신생,921836.0
2017,전체,전체,계,소멸,705069.0
2017,전체,전체,계,신생률,15.1
2017,전체,전체,계,소멸률,11.6
2018,전체,전체,계,활동,6298581.0
2018,전체,전체,계,신생,927362.0
2018,전체,전체,계,소멸,699117.0
2018,전체,전체,계,신생률,14.7
2018,전체,전체,계,소멸률,11.1
2019,전체,전체,계,활동,6576661.0
2019,전체,전체,계,신생,1005463.0
2019,전체,전체,계,소멸,743882.0
2019,전체,전체,계,신생률,15.3
2019,전체,전체,계,소멸률,11.3
2020,전체,전체,계,활동,6873228.0
2020,전체,전체,계,신생,1068917.0
2020,전체,전체,계,소멸,768274.0
2020,전체,전체,계,신생률,15.6
2020,전체,전체,계,소멸률,11.2
2021,전체,전체,계,활동,7113059.0
2021,전체,전체,계,신생,1033758.0
2021,전체,전체,계,소멸,735422.0
2021,전체,전체,계,신생률,14.5
2021,전체,전체,계,소멸률,10.3
2022,전체,전체,계,활동,7352787.0
2022,전체,전체,계,신생,997471.0
2022,전체,전체,계,소멸,750657.0
2022,전체,전체,계,신생률,13.6
2022,전체,전체,계,소멸률,10.2
2023,전체,전체,계,활동,7538736.0
2023,전체,전체,계,신생,955941.0
2023,전체,전체,계,소멸,790516.0
2023,전체,전체,계,신생률,12.7
2023,전체,전체,계,소멸률,10.5
2024,전체,전체,계,활동,7641751.0
2024,전체,전체,계,신생,922413.0
2024,전체,전체,계,신생률,12.1
2011,전체,전체,남자,활동,3350005.0
2011,전체,전체,남자,신생,440632.0
2011,전체,전체,남자,소멸,373958.0
2011,전체,전체,남자,신생률,13.2
2011,전체,전체,남자,소멸률,11.2
2012,전체,전체,남자,활동,3389154.0
2012,전체,전체,남자,신생,421329.0
2012,전체,전체,남자,소멸,401001.0
2012,전체,전체,남자,신생률,12.4
2012,전체,전체,남자,소멸률,11.8
2013,전체,전체,남자,활동,3400377.0
2013,전체,전체,남자,신생,414990.0
2013,전체,전체,남자,소멸,363606.0
2013,전체,전체,남자,신생률,12.2
2013,전체,전체,남자,소멸률,10.7
2014,전체,전체,남자,활동,3502417.0
2014,전체,전체,남자,신생,462516.0
2014,전체,전체,남자,소멸,441866.0
2014,전체,전체,남자,신생률,13.2
2014,전체,전체,남자,소멸률,12.6
2015,전체,전체,남자,활동,3482173.0
2015,전체,전체,남자,신생,448832.0
2015,전체,전체,남자,소멸,351503.0
2015,전체,전체,남자,신생률,12.9
2015,전체,전체,남자,소멸률,10.1
2016,전체,전체,남자,활동,3605093.0
2016,전체,전체,남자,신생,482816.0
2016,전체,전체,남자,소멸,338358.0
2016,전체,전체,남자,신생률,13.4
2016,전체,전체,남자,소멸률,9.4
2017,전체,전체,남자,활동,3761090.0
2017,전체,전체,남자,신생,498926.0
2017,전체,전체,남자,소멸,377457.0
2017,전체,전체,남자,신생률,13.3
