ref_year,industry,ksic_section,firm_size,survival_horizon_yr,survival_rate,birth_year
2012,전체,전체,계,1,64.6,2011
2012,전체,전체,계,2,,2010
2012,전체,전체,계,3,,2009
2012,전체,전체,계,4,,2008
2012,전체,전체,계,5,,2007
2013,전체,전체,계,1,65.9,2012
2013,전체,전체,계,2,52.5,2011
2013,전체,전체,계,3,,2010
2013,전체,전체,계,4,,2009
2013,전체,전체,계,5,,2008
2014,전체,전체,계,1,66.6,2013
2014,전체,전체,계,2,54.7,2012
2014,전체,전체,계,3,44.5,2011
2014,전체,전체,계,4,,2010
2014,전체,전체,계,5,,2009
2015,전체,전체,계,1,67.1,2014
2015,전체,전체,계,2,54.6,2013
2015,전체,전체,계,3,46.4,2012
2015,전체,전체,계,4,38.6,2011
2015,전체,전체,계,5,,2010
2016,전체,전체,계,1,66.8,2015
2016,전체,전체,계,2,55.1,2014
2016,전체,전체,계,3,46.3,2013
2016,전체,전체,계,4,40.5,2012
2016,전체,전체,계,5,34.1,2011
2017,전체,전체,계,1,66.6,2016
2017,전체,전체,계,2,54.9,2015
2017,전체,전체,계,3,47.0,2014
2017,전체,전체,계,4,40.5,2013
2017,전체,전체,계,5,36.0,2012
2018,전체,전체,계,1,66.4,2017
2018,전체,전체,계,2,54.7,2016
2018,전체,전체,계,3,46.4,2015
2018,전체,전체,계,4,40.9,2014
2018,전체,전체,계,5,35.7,2013
2019,전체,전체,계,1,66.2,2018
2019,전체,전체,계,2,54.6,2017
2019,전체,전체,계,3,46.2,2016
2019,전체,전체,계,4,40.2,2015
2019,전체,전체,계,5,36.1,2014
2020,전체,전체,계,1,66.3,2019
2020,전체,전체,계,2,54.5,2018
2020,전체,전체,계,3,46.3,2017
2020,전체,전체,계,4,40.1,2016
2020,전체,전체,계,5,35.3,2015
2021,전체,전체,계,1,66.2,2020
2021,전체,전체,계,2,55.2,2019
2021,전체,전체,계,3,46.8,2018
2021,전체,전체,계,4,40.5,2017
2021,전체,전체,계,5,35.6,2016
2022,전체,전체,계,1,63.6,2021
2022,전체,전체,계,2,54.0,2020
2022,전체,전체,계,3,46.6,2019
2022,전체,전체,계,4,40.4,2018
2022,전체,전체,계,5,35.8,2017
2023,전체,전체,계,1,62.1,2022
2023,전체,전체,계,2,51.8,2021
2023,전체,전체,계,3,45.5,2020
2023,전체,전체,계,4,40.4,2019
2023,전체,전체,계,5,35.4,2018
2012,전체,전체,1인~4인,1,61.9,2011
2012,전체,전체,1인~4인,2,,2010
2012,전체,전체,1인~4인,3,,2009
2012,전체,전체,1인~4인,4,,2008
2012,전체,전체,1인~4인,5,,2007
2013,전체,전체,1인~4인,1,63.3,2012
2013,전체,전체,1인~4인,2,50.3,2011
2013,전체,전체,1인~4인,3,,2010
2013,전체,전체,1인~4인,4,,2009
2013,전체,전체,1인~4인,5,,2008
2014,전체,전체,1인~4인,1,64.1,2013
2014,전체,전체,1인~4인,2,52.3,2012
2014,전체,전체,1인~4인,3,42.6,2011
2014,전체,전체,1인~4인,4,,2010
2014,전체,전체,1인~4인,5,,2009
2015,전체,전체,1인~4인,1,64.4,2014
2015,전체,전체,1인~4인,2,52.4,2013
2015,전체,전체,1인~4인,3,44.4,2012
2015,전체,전체,1인~4인,4,37.0,2011
2015,전체,전체,1인~4인,5,,2010
2016,전체,전체,1인~4인,1,64.6,2015
2016,전체,전체,1인~4인,2,52.6,2014
2016,전체,전체,1인~4인,3,44.4,2013
2016,전체,전체,1인~4인,4,38.6,2012
2016,전체,전체,1인~4인,5,32.6,2011
2017,전체,전체,1인~4인,1,64.2,2016
2017,전체,전체,1인~4인,2,52.8,2015
2017,전체,전체,1인~4인,3,44.7,2014
2017,전체,전체,1인~4인,4,38.7,2013
2017,전체,전체,1인~4인,5,34.3,2012
2018,전체,전체,1인~4인,1,63.9,2017
2018,전체,전체,1인~4인,2,52.5,2016
2018,전체,전체,1인~4인,3,44.6,2015
2018,전체,전체,1인~4인,4,38.8,2014
2018,전체,전체,1인~4인,5,34.1,2013
2019,전체,전체,1인~4인,1,63.5,2018
2019,전체,전체,1인~4인,2,52.2,2017
2019,전체,전체,1인~4인,3,44.2,2016
2019,전체,전체,1인~4인,4,38.5,2015
2019,전체,전체,1인~4인,5,34.1,2014
2020,전체,전체,1인~4인,1,63.5,2019
2020,전체,전체,1인~4인,2,51.9,2018
2020,전체,전체,1인~4인,3,44.1,2017
2020,전체,전체,1인~4인,4,38.2,2016
2020,전체,전체,1인~4인,5,33.8,2015
2021,전체,전체,1인~4인,1,63.6,2020
2021,전체,전체,1인~4인,2,52.5,2019
2021,전체,전체,1인~4인,3,44.4,2018
2021,전체,전체,1인~4인,4,38.4,2017
2021,전체,전체,1인~4인,5,33.8,2016
2022,전체,전체,1인~4인,1,60.9,2021
2022,전체,전체,1인~4인,2,51.4,2020
2022,전체,전체,1인~4인,3,44.2,2019
2022,전체,전체,1인~4인,4,38.3,2018
2022,전체,전체,1인~4인,5,33.8,2017
2023,전체,전체,1인~4인,1,59.2,2022
2023,전체,전체,1인~4인,2,49.3,2021
2023,전체,전체,1인~4인,3,43.3,2020
2023,전체,전체,1인~4인,4,38.2,2019
2023,전체,전체,1인~4인,5,33.4,2018
2012,전체,전체,5인~9인,1,72.9,2011
2012,전체,전체,5인~9인,2,,2010
2012,전체,전체,5인~9인,3,,2009
2012,전체,전체,5인~9인,4,,2008
2012,전체,전체,5인~9인,5,,2007
2013,전체,전체,5인~9인,1,74.0,2012
2013,전체,전체,5인~9인,2,59.4,2011
2013,전체,전체,5인~9인,3,,2010
2013,전체,전체,5인~9인,4,,2009
2013,전체,전체,5인~9인,5,,2008
2014,전체,전체,5인~9인,1,75.6,2013
2014,전체,전체,5인~9인,2,62.1,2012
2014,전체,전체,5인~9인,3,50.6,2011
2014,전체,전체,5인~9인,4,,2010
2014,전체,전체,5인~9인,5,,2009
2015,전체,전체,5인~9인,1,76.6,2014
2015,전체,전체,5인~9인,2,62.5,2013
2015,전체,전체,5인~9인,3,52.8,2012
2015,전체,전체,5인~9인,4,43.9,2011
2015,전체,전체,5인~9인,5,,2010
2016,전체,전체,5인~9인,1,76.3,2015
2016,전체,전체,5인~9인,2,63.8,2014
2016,전체,전체,5인~9인,3,53.3,2013
2016,전체,전체,5인~9인,4,46.3,2012
2016,전체,전체,5인~9인,5,39.0,2011
2017,전체,전체,5인~9인,1,77.2,2016
2017,전체,전체,5인~9인,2,63.6,2015
2017,전체,전체,5인~9인,3,54.9,2014
2017,전체,전체,5인~9인,4,46.5,2013
2017,전체,전체,5인~9인,5,41.4,2012
2018,전체,전체,5인~9인,1,77.6,2017
2018,전체,전체,5인~9인,2,64.2,2016
2018,전체,전체,5인~9인,3,54.5,2015
2018,전체,전체,5인~9인,4,48.1,2014
2018,전체,전체,5인~9인,5,41.3,2013
2019,전체,전체,5인~9인,1,77.7,2018
2019,전체,전체,5인~9인,2,64.8,2017
2019,전체,전체,5인~9인,3,55.0,2016
2019,전체,전체,5인~9인,4,47.4,2015
2019,전체,전체,5인~9인,5,43.0,2014
2020,전체,전체,5인~9인,1,78.1,2019
2020,전체,전체,5인~9인,2,65.0,2018
2020,전체,전체,5인~9인,3,55.9,2017
2020,전체,전체,5인~9인,4,48.1,2016
2020,전체,전체,5인~9인,5,42.3,2015
2021,전체,전체,5인~9인,1,78.7,2020
2021,전체,전체,5인~9인,2,66.2,2019
2021,전체,전체,5인~9인,3,56.1,2018
2021,전체,전체,5인~9인,4,49.7,2017
2021,전체,전체,5인~9인,5,43.2,2016
2022,전체,전체,5인~9인,1,76.7,2021
2022,전체,전체,5인~9인,2,65.5,2020
2022,전체,전체,5인~9인,3,56.5,2019
2022,전체,전체,5인~9인,4,49.2,2018
2022,전체,전체,5인~9인,5,44.4,2017
2023,전체,전체,5인~9인,1,78.1,2022
2023,전체,전체,5인~9인,2,64.1,2021
2023,전체,전체,5인~9인,3,55.8,2020
