indicator_name,definition,unit,year,group,value
삶의 만족도,0~10점 척도 평균,점(0~10),2013,전체,5.7
삶의 만족도,0~10점 척도 평균,점(0~10),2013,20대,5.7
삶의 만족도,0~10점 척도 평균,점(0~10),2013,30대,5.8
삶의 만족도,0~10점 척도 평균,점(0~10),2014,전체,5.7
삶의 만족도,0~10점 척도 평균,점(0~10),2014,20대,5.9
삶의 만족도,0~10점 척도 평균,점(0~10),2014,30대,5.8
삶의 만족도,0~10점 척도 평균,점(0~10),2015,전체,5.8
삶의 만족도,0~10점 척도 평균,점(0~10),2015,20대,5.8
삶의 만족도,0~10점 척도 평균,점(0~10),2015,30대,5.8
삶의 만족도,0~10점 척도 평균,점(0~10),2016,전체,5.9
삶의 만족도,0~10점 척도 평균,점(0~10),2016,20대,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2016,30대,5.9
삶의 만족도,0~10점 척도 평균,점(0~10),2017,전체,6.0
삶의 만족도,0~10점 척도 평균,점(0~10),2017,20대,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2017,30대,6.2
삶의 만족도,0~10점 척도 평균,점(0~10),2018,전체,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2018,20대,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2018,30대,6.2
삶의 만족도,0~10점 척도 평균,점(0~10),2019,전체,6.0
삶의 만족도,0~10점 척도 평균,점(0~10),2019,20대,6.0
삶의 만족도,0~10점 척도 평균,점(0~10),2019,30대,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2020,전체,6.0
삶의 만족도,0~10점 척도 평균,점(0~10),2020,20대,6.2
삶의 만족도,0~10점 척도 평균,점(0~10),2020,30대,6.1
삶의 만족도,0~10점 척도 평균,점(0~10),2021,전체,6.3
삶의 만족도,0~10점 척도 평균,점(0~10),2021,20대,6.4
삶의 만족도,0~10점 척도 평균,점(0~10),2021,30대,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2022,전체,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2022,20대,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2022,30대,6.6
삶의 만족도,0~10점 척도 평균,점(0~10),2023,전체,6.4
삶의 만족도,0~10점 척도 평균,점(0~10),2023,20대,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2023,30대,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2024,전체,6.4
삶의 만족도,0~10점 척도 평균,점(0~10),2024,20대,6.5
삶의 만족도,0~10점 척도 평균,점(0~10),2024,30대,6.6
삶의 만족도,0~10점 척도 평균,점(0~10),2025,전체,6.6
삶의 만족도,0~10점 척도 평균,점(0~10),2025,20대,6.7
삶의 만족도,0~10점 척도 평균,점(0~10),2025,30대,6.8
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2009,전체,26.6
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2009,20대,27.9
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2009,30대,28.4
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2011,전체,24.6
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2011,20대,26.2
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2011,30대,24.8
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2013,전체,26.3
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2013,20대,27.1
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2013,30대,28.2
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2015,전체,25.3
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2015,20대,25.2
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2015,30대,27.7
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2017,전체,27.7
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2017,20대,27.3
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2017,30대,31.1
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2019,전체,32.3
일자리 만족도,일자리에 만족한다고 응답한 비율,%,2019,20대,32.9
