indicator_name,year,group,value,unit
삶의 만족도(청년삶실태),2024,19-34,6.7,점/10
삶의 만족도(청년삶실태),2024,25-29,6.5,점/10
삶의 만족도(청년삶실태),2024,30-34,6.7,점/10
삶의 자율성,2024,19-34,6.9,점/10
미래실현 부정 인식,2024,19-34,7.6,%
번아웃 경험률,2024,19-34,32.2,%
우울감 경험률,2023,~29,16.3,%
우울감 경험률,2023,30-39,11.6,%
첫 취업 소요기간,2025,~29,11.3,개월
확장실업률,2024,~29,15.6,%
실업률,2024,~29,5.9,%
시간당 임금,2024,19-34,20660.0,원
시간당 임금(정규),2024,19-34,22644.0,원
시간당 임금(비정규),2024,19-34,15459.0,원
일자리 만족도(청년),2023,19-34,36.0,%
가구 중위소득(실질),2023,19-34,3778.0,만원/년
가구부채 비율,2023,19-34,172.8,%
상대적 빈곤율,2023,19-34,7.6,%
소득 만족도,2023,19-34,27.7,%
주택임대료 비율(RIR),2024,19-34,16.0,%
1인당 주거면적,2024,19-34,31.1,m2
주택 이외 거처,2024,19-34,5.3,%
타지역 이사의향,2024,19-34,24.3,%
외로움 경험률,2024,~29,12.7,%
대인신뢰도,2024,~29,53.2,%
공정성 인식,2024,~29,45.8,%
계층이동 가능성(사회조사),2023,19-34,27.7,%
30~34세 미혼율,2024,30-34,66.8,%
혼자 사는 청년 비율,2024,20-34,25.8,%
