year,income_now,income_first,is_first_job,job_major,satis_overall,satis_growth,health,life_satis,happy_last_month,quit_reason_first,move_reason_1,changed_job,income_change_pct,income_up,income_down
2020,90.0,180.0,2.0,6.0,1.0,3.0,4.0,6.0,4.0,11.0,9.0,1.0,-50.0,0,1
2020,234.0,234.0,2.0,3.0,1.0,5.0,3.0,7.0,7.0,11.0,,1.0,0.0,0,0
2020,200.0,70.0,2.0,5.0,4.0,4.0,3.0,6.0,5.0,11.0,,1.0,185.71428571428572,1,0
2020,190.0,165.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,12.0,,1.0,15.151515151515152,1,0
2020,200.0,180.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,11.0,,1.0,11.11111111111111,1,0
2020,215.0,197.0,2.0,6.0,4.0,2.0,5.0,5.0,5.0,10.0,,1.0,9.137055837563452,1,0
2020,100.0,86.0,2.0,6.0,4.0,2.0,2.0,5.0,2.0,5.0,,1.0,16.27906976744186,1,0
2020,200.0,80.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,,1.0,150.0,1,0
2020,250.0,300.0,2.0,7.0,4.0,4.0,3.0,3.0,3.0,7.0,13.0,1.0,-16.666666666666664,0,1
2020,216.0,183.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,18.0327868852459,1,0
2020,220.0,180.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,11.0,5.0,1.0,22.22222222222222,1,0
2020,195.0,180.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,11.0,,1.0,8.333333333333332,1,0
2020,140.0,75.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,14.0,1.0,1.0,86.66666666666667,1,0
2020,148.0,180.0,2.0,6.0,4.0,3.0,3.0,6.0,5.0,11.0,,1.0,-17.77777777777778,0,1
2020,230.0,200.0,2.0,5.0,5.0,4.0,2.0,2.0,6.0,5.0,,1.0,15.0,1,0
2020,90.0,60.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,12.0,,1.0,50.0,1,0
2020,200.0,200.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,11.0,5.0,1.0,0.0,0,0
2020,180.0,180.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,11.0,,1.0,0.0,0,0
