지표명,구분유형,sex,agegroup,값,단위,se,n,출처,조사연도
스트레스인지율,전체,,,22.4,%,,231588.0,CHS 2025,2025
스트레스인지율,성별,1.0,,21.2,%,,106766.0,CHS 2025,2025
스트레스인지율,성별,2.0,,23.5,%,,124822.0,CHS 2025,2025
스트레스인지율,연령대,,19-29,23.4,%,,19523.0,CHS 2025,2025
스트레스인지율,연령대,,30-39,29.5,%,,24227.0,CHS 2025,2025
스트레스인지율,연령대,,40-49,28.6,%,,31381.0,CHS 2025,2025
스트레스인지율,연령대,,50-59,22.5,%,,42639.0,CHS 2025,2025
스트레스인지율,연령대,,60-69,16.3,%,,53392.0,CHS 2025,2025
스트레스인지율,연령대,,70+,14.4,%,,60426.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,19-29,19.3,%,,9693.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,30-39,27.1,%,,12062.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,40-49,28.6,%,,14970.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,50-59,23.2,%,,19833.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,60-69,15.3,%,,24915.0,CHS 2025,2025
스트레스인지율,성별×연령대,1.0,70+,11.5,%,,25293.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,19-29,27.9,%,,9830.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,30-39,32.1,%,,12165.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,40-49,28.7,%,,16411.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,50-59,21.7,%,,22806.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,60-69,17.2,%,,28477.0,CHS 2025,2025
스트레스인지율,성별×연령대,2.0,70+,16.8,%,,35133.0,CHS 2025,2025
우울장애유병률,전체,,,3.8,%,,231290.0,CHS 2025,2025
우울장애유병률,성별,1.0,,2.8,%,,106662.0,CHS 2025,2025
우울장애유병률,성별,2.0,,4.7,%,,124628.0,CHS 2025,2025
우울장애유병률,연령대,,19-29,3.8,%,,19509.0,CHS 2025,2025
우울장애유병률,연령대,,30-39,4.0,%,,24207.0,CHS 2025,2025
우울장애유병률,연령대,,40-49,3.3,%,,31354.0,CHS 2025,2025
우울장애유병률,연령대,,50-59,2.9,%,,42607.0,CHS 2025,2025
우울장애유병률,연령대,,60-69,3.0,%,,53354.0,CHS 2025,2025
우울장애유병률,연령대,,70+,5.8,%,,60259.0,CHS 2025,2025
우울장애유병률,성별×연령대,1.0,19-29,2.9,%,,9687.0,CHS 2025,2025
우울장애유병률,성별×연령대,1.0,30-39,2.7,%,,12051.0,CHS 2025,2025
우울장애유병률,성별×연령대,1.0,40-49,2.8,%,,14958.0,CHS 2025,2025
